country,iso_code,first_year,last_year,carbon_first,carbon_last,reduction_in_carbon_intensity
Turkmenistan,TKM,2000,2024,1306.5999755859375,1306.27001953125,0.3299560546875
Uzbekistan,UZB,2000,2025,1103.5,1000.0,103.5
Kiribati,KIR,2000,2024,1000.0,500.0,500.0
Falkland Islands,FLK,2000,2023,1000.0,1000.0,0.0
Saint Helena,SHN,2000,2023,1000.0,1000.0,0.0
Montserrat,MSR,2000,2024,1000.0,1000.0,0.0
Poland,POL,1990,2025,966.969970703125,588.5999755859375,378.3699951171875
North Macedonia,MKD,1990,2025,925.219970703125,441.35000610351562,483.86996459960938
Mongolia,MNG,2000,2025,910.34997558593761,816.30999755859375,94.039978027343864
Bahrain,BHR,2000,2024,904.760009765625,902.239990234375,2.52001953125
