country,iso_code,fossil_share_first,fossil_share_last,reduction_pct_points
Iceland,ISL,76.169357299804688,19.501907348632809,56.667449951171875
France,FRA,90.086265563964844,46.136066436767578,43.950199127197266
Denmark,DNK,99.958213806152344,58.277835845947273,41.680377960205071
Finland,FIN,77.154090881347656,36.772506713867188,40.381584167480469
Sweden,SWE,66.460823059082031,27.789836883544918,38.670986175537109
Bulgaria,BGR,95.3536148071289,63.295799255371087,32.05781555175782
Slovakia,SVK,94.198600769042955,63.882587432861328,30.316013336181626
Hungary,HUN,99.887367248535156,72.181411743164062,27.705955505371094
Czechia,CZE,98.676406860351562,71.686477661132812,26.98992919921875
Romania,ROU,98.997749328613281,73.311210632324219,25.686538696289062
