country,iso_code,year,renewables_share_elec,fossil_share_elec
Paraguay,PRY,2025,100.0,0.0
Costa Rica,CRI,2025,100.0,0.0
Ethiopia,ETH,2025,100.0,0.0
Norway,NOR,2025,98.998817443847656,1.0011814832687378
Uruguay,URY,2025,97.822448730468764,2.1775543689727783
Tajikistan,TJK,2025,94.365631103515625,5.634373664855957
Luxembourg,LUX,2025,91.558441162109375,8.4415578842163086
Denmark,DNK,2025,91.171173095703125,8.8288288116455078
Kenya,KEN,2025,90.028495788574219,9.97150993347168
New Zealand,NZL,2025,88.53253173828125,11.467466354370115
